signer_id,handedness,age,gender,region,region_code,pair,hand_in_sheet,note
FO_01,right,60,F,Fukuoka,FO,1-2,R,
FO_02,right,70,F,Fukuoka,FO,1-2,R,
FO_03,right,40,F,Fukuoka,FO,3-4,R,
FO_04,right,40,F,Fukuoka,FO,3-4,R,
FO_05,right,70,F,Fukuoka,FO,5-6,R,
FO_06,right,80,F,Fukuoka,FO,5-6,R,
FO_07,right,40,F,Fukuoka,FO,7-8,R,
FO_08,right,50,F,Fukuoka,FO,7-8,R,
FO_09,right,40,M,Fukuoka,FO,9-10,R,
FO_10,right,50,M,Fukuoka,FO,9-10,R,
FO_11,right,40,M,Fukuoka,FO,11-12,R,
FO_12,right,40,M,Fukuoka,FO,11-12,R,
FO_13,right,70,M,Fukuoka,FO,13-14,R,
FO_14,right,70,M,Fukuoka,FO,13-14,R,
FO_15,left,70,M,Fukuoka,FO,15-16,L,mirrored
FO_16,right,70,M,Fukuoka,FO,15-16,R,
GM_01,right,50,F,Gunma,GM,1-2,R,
GM_02,right,50,F,Gunma,GM,1-2,R,
GM_03,right,70,M,Gunma,GM,3-4,R,
GM_04,right,70,M,Gunma,GM,3-4,R,
GM_05,right,30,M,Gunma,GM,5-6,R,
GM_06,right,30,M,Gunma,GM,5-6,R,
GM_07,right,30,F,Gunma,GM,7-8,R,
GM_08,right,30,F,Gunma,GM,7-8,R,
GM_09,right,60,F,Gunma,GM,9-10,R,
GM_10,right,60,F,Gunma,GM,9-10,R,
GM_11,right,70,F,Gunma,GM,11-12,R,
GM_12,right,70,F,Gunma,GM,11-12,R,
GM_13,right,40,F,Gunma,GM,13-14,R,
GM_14,right,40,F,Gunma,GM,13-14,R,
GM_15,right,40,M,Gunma,GM,15-16,R,
GM_16,right,40,M,Gunma,GM,15-16,R,
GM_17,left,50,M,Gunma,GM,17-18,L,mirrored
GM_18,right,50,M,Gunma,GM,17-18,R,
GM_19,right,60,M,Gunma,GM,19-20,R,
GM_20,right,60,M,Gunma,GM,19-20,R,
IK_01,right,70,F,Ibaraki,IK,1-2,R,
IK_02,right,70,F,Ibaraki,IK,1-2,R,
IK_03,right,80,M,Ibaraki,IK,3-4,R,
IK_04,right,80,M,Ibaraki,IK,3-4,R,
IK_05,right,60,F,Ibaraki,IK,5-6,R,
IK_06,right,60,F,Ibaraki,IK,5-6,R,
IK_07,right,30,M,Ibaraki,IK,7-8,R,
IK_08,right,30,M,Ibaraki,IK,7-8,R,
IK_09,right,30,F,Ibaraki,IK,9-10,R(L),"mixed (R(L)) - leads right, NOT mirrored"
IK_10,right,30,F,Ibaraki,IK,9-10,R L,"mixed (R L) - leads right, NOT mirrored"
IK_11,right,40,M,Ibaraki,IK,11-12,R,
IK_12,right,40,M,Ibaraki,IK,11-12,R,
IK_13,right,60,M,Ibaraki,IK,13-14,R,
IK_14,right,60,M,Ibaraki,IK,13-14,R,
IK_15,right,50,F,Ibaraki,IK,15-16,R,
IK_16,right,50,F,Ibaraki,IK,15-16,R,
IK_17,right,50,M,Ibaraki,IK,17-18,R,
IK_18,right,50,M,Ibaraki,IK,17-18,R,
IK_19,right,40,F,Ibaraki,IK,19-20,R,
IK_20,right,40,F,Ibaraki,IK,19-20,R,
IS_01,right,70,M,Ishikawa,IS,1-2,R,
IS_02,right,70,M,Ishikawa,IS,1-2,R,
IS_03,right,20,M,Ishikawa,IS,3-4,R,
IS_04,right,20,M,Ishikawa,IS,3-4,R,
IS_05,right,50,M,Ishikawa,IS,5-6,R(L),"mixed (R(L)) - leads right, NOT mirrored"
IS_06,right,50,M,Ishikawa,IS,5-6,R,
IS_07,right,80,M,Ishikawa,IS,7-8,R,
IS_08,right,80,M,Ishikawa,IS,7-8,R (L),"mixed (R (L)) - leads right, NOT mirrored"
IS_09,right,60,M,Ishikawa,IS,9-10,R,
IS_10,right,60,M,Ishikawa,IS,9-10,R,
IS_11,right,30,M,Ishikawa,IS,11-12,R,
IS_12,right,30,M,Ishikawa,IS,11-12,R,
IS_13,left,40,M,Ishikawa,IS,13-14,L,mirrored
IS_14,left,40,M,Ishikawa,IS,13-14,L,mirrored
NR_01,right,70,M,Nara,NR,1-2,R,
NR_02,right,70,M,Nara,NR,1-2,R,
NR_03,right,50,F,Nara,NR,3-4,R,
NR_04,right,50,F,Nara,NR,3-4,R,
